t,T1
0,22.03
1,21.99
2,22.02
3,22.03
4,22.09
5,22.12
6,22.03
7,21.97
8,22.08
9,22.15
10,22.2
11,22.24
12,22.22
13,22.21
14,22.3
15,22.41
16,22.36
17,22.3
18,22.34
19,22.33
20,22.38
21,22.41
22,22.23
23,22.36
24,22.5
25,22.4
26,22.49
27,22.52
28,22.46
29,22.51
30,22.56
31,22.52
32,22.54
33,22.7
34,22.7
35,22.62
36,22.64
37,22.63
38,22.65
39,22.66
40,22.67
41,22.68
42,22.7
43,22.67
44,22.7
45,22.84
46,22.81
47,22.82
48,22.82
49,22.82
50,22.93
51,22.97
52,22.92
53,22.85
54,22.84
55,22.87
56,22.95
57,23
58,23
59,22.96
60,22.98
61,23.06
62,23.1
63,23.08
64,23
65,23.05
66,23.06
67,23.09
68,23.16
69,23.11
70,23.09
71,23.14
72,23.13
73,23.15
74,23.18
75,23.17
76,23.17
77,23.19
78,23.15
79,23.16
80,23.26
81,23.31
82,23.37
83,23.37
84,23.24
85,23.28
86,23.38
87,23.46
88,23.48
89,23.45
90,23.4
91,23.41
92,23.38
93,23.35
94,23.39
95,23.41
96,23.47
97,23.46
98,23.4
99,23.4
100,23.45
101,23.51
102,23.48
103,23.49
104,23.58
105,23.62
106,23.66
107,23.68
108,23.74
109,23.67
110,23.64
111,23.68
112,23.71
113,23.68
114,23.64
115,23.63
116,23.62
117,23.65
118,23.7
119,23.68
120,23.73
121,23.75
122,23.68
123,23.68
124,23.76
125,23.84
126,23.84
127,23.82
128,23.81
129,23.82
130,23.84
131,23.78
132,23.77
133,23.85
134,23.91
135,23.89
136,23.83
137,23.84
138,23.83
139,23.84
140,23.91
141,23.93
142,23.9
143,23.98
144,24.03
145,23.99
146,23.97
147,23.97
148,23.91
149,23.88
150,23.99
151,24.07
152,24.09
153,24.05
154,24.05
155,24.1
156,24.05
157,24.02
158,24.07
159,24.03
160,24.02
161,24.05
162,24.18
163,24.13
164,24.07
165,24.18
166,24.19
167,24.19
168,24.17
169,24.12
170,24.17
171,24.29
172,24.3
173,24.27
174,24.22
175,24.27
176,24.31
177,24.28
178,24.28
179,24.24
180,24.24
181,24.33
182,24.24
183,24.23
184,24.37
185,24.38
186,24.4
187,24.36
188,24.35
189,24.35
190,24.29
191,24.33
192,24.37
193,24.44
194,24.44
195,24.52
196,24.47
197,24.23
198,24.18
199,24.39
200,24.53
201,24.47
202,24.48
203,24.51
204,24.47
205,24.44
206,24.52
207,24.55
208,24.51
209,24.47
210,24.54
