t,T1
0,23.79
1,23.76
2,23.7
3,23.77
4,24.03
5,24.43
6,24.94
7,25.44
8,25.72
9,26.23
10,26.62
11,26.94
12,27.3
13,27.43
14,27.52
15,27.69
16,27.97
17,28
18,28.1
19,28.31
20,28.34
21,28.5
22,28.58
23,28.55
24,28.79
25,28.94
26,29.07
27,29.23
28,29.37
29,29.36
30,29.4
31,29.66
32,29.87
33,29.8
34,29.89
35,30.06
36,30.19
37,30.36
38,30.46
39,30.51
40,30.65
41,30.76
42,30.79
43,30.84
44,31.04
45,31.12
46,31.14
47,31.25
48,31.33
49,31.41
50,31.51
51,31.67
52,31.87
53,31.89
54,31.91
55,31.95
56,32.09
57,32.31
58,32.36
59,32.44
60,32.53
61,32.54
62,32.52
63,32.56
64,32.89
65,33
66,33.07
67,33.19
68,33.21
69,33.36
70,33.41
71,33.47
72,33.75
73,33.83
74,33.89
75,34.01
76,34.04
77,34.15
78,34.21
79,34.2
80,34.3
81,34.46
82,34.55
83,34.56
84,34.56
85,34.7
86,34.76
87,34.78
88,34.93
89,35.09
90,35.13
91,35.2
92,35.21
93,35.36
94,35.46
95,35.53
96,35.61
97,35.74
98,35.88
99,35.9
100,35.88
101,35.97
102,35.95
103,36.05
104,36.22
105,36.31
106,36.39
107,36.36
108,36.43
109,36.52
110,36.63
111,36.69
112,36.71
113,36.76
114,36.8
115,36.94
116,36.97
117,37.06
118,37.2
119,37.24
120,37.25
121,37.27
122,37.37
123,37.4
124,37.5
125,37.57
126,37.66
127,37.72
128,37.78
129,37.95
130,38.02
131,37.98
132,38.02
133,38.22
134,38.32
135,38.35
136,38.4
137,38.4
138,38.52
139,38.61
140,38.62
141,38.65
142,38.64
143,38.69
144,38.83
145,38.92
146,38.95
147,39
148,39.08
149,39.09
150,39.11
151,39.22
152,39.26
153,39.34
154,39.42
155,39.55
156,39.55
157,39.66
158,39.72
159,39.85
160,39.9
161,39.89
162,39.96
163,40.08
164,40.12
165,40.04
166,40.05
167,40.17
168,40.23
169,40.28
170,40.36
171,40.43
172,40.45
173,40.49
174,40.55
175,40.57
176,40.61
177,40.62
178,40.69
179,40.76
180,40.85
181,40.95
182,40.97
183,40.96
184,41.04
185,41.13
186,41.14
187,41.25
188,41.34
189,41.45
190,41.61
191,41.53
192,41.49
193,41.57
194,41.65
195,41.73
196,41.77
197,41.87
198,41.9
199,41.84
200,41.93
201,41.94
202,42.03
203,42.05
204,42.01
205,42.09
206,42.11
207,42.11
208,42.11
209,42.2
210,42.2
211,42.19
212,42.24
213,42.31
214,42.27
215,42.43
216,42.57
217,42.64
218,42.64
219,42.65
220,42.69
221,42.66
222,42.68
223,42.67
224,42.67
225,42.7
226,42.83
227,42.82
228,42.85
229,42.86
230,43.07
231,43.2
232,43.19
233,43.42
234,43.41
235,43.37
236,43.46
237,43.5
238,43.57
239,43.67
240,43.75
241,43.74
242,43.83
243,43.86
244,43.9
245,43.95
246,43.9
247,43.93
248,44
249,43.99
250,44.07
251,44.05
252,44.05
253,44.06
254,44.14
255,44.28
256,44.4
257,44.4
258,44.37
259,44.35
260,44.31
261,44.46
262,44.49
263,44.47
264,44.64
265,44.7
266,44.61
267,44.66
268,44.7
269,44.82
270,44.95
271,44.92
272,44.88
273,44.9
274,44.95
275,45.05
276,45.11
277,45.06
278,45.11
279,45.25
280,45.28
281,45.3
282,45.33
283,45.32
284,45.37
285,45.38
286,45.4
287,45.53
288,45.62
