Parameters of Sample:   Name of the Sample
Concentration (mg/ml):   8.6800
Volumn (ml):   0.4000
Experiment Date:	10/31/2017	12:09 PM	Recording Period (ms): 1000.0000

Time	H	Frequency	T1	T2	T3	IpSupply	VpSupply	Current	SAR	sd SAR	L
1.0000	4947.7398	992872.6002	22.1100	0.0000	0.0000	1.4210	18.3940	36.6472	0.0000	0.0000	0.0179
2.0000	4948.1953	992873.1937	22.0900	0.0000	0.0000	1.4210	18.3940	36.6533	0.0000	0.0000	0.0179
3.0000	4945.8641	992873.0195	22.0200	0.0000	0.0000	1.4210	18.3940	36.6360	0.0000	0.0000	0.0179
4.0000	4948.1083	992873.3782	22.0300	0.0000	0.0000	1.4210	18.3940	36.6527	0.0000	0.0000	0.0179
5.0000	4946.1788	992875.1286	22.0400	0.0000	0.0000	1.4210	18.3940	36.6384	0.0000	0.0000	0.0179
6.0000	4948.7045	992875.9677	22.0200	0.0000	0.0000	1.4210	18.3940	36.6571	0.0000	0.0000	0.0179
7.0000	4946.4066	992876.7901	22.0300	0.0000	0.0000	1.4210	18.3940	36.6400	0.0000	0.0000	0.0179
8.0000	4951.6319	992876.6183	21.9900	0.0000	0.0000	1.4210	18.3940	36.6788	0.0000	0.0000	0.0179
9.0000	4945.0401	992877.0561	22.0200	0.0000	0.0000	1.4210	18.3940	36.6299	0.0000	0.0000	0.0179
10.0000	4946.7751	992877.0248	22.0300	0.0000	0.0000	1.4210	18.3940	36.6428	0.0000	0.0000	0.0179
11.0000	4937.3966	992745.3941	22.0900	0.0000	0.0000	1.4210	18.3940	36.5733	0.0000	0.0000	0.0179
12.0000	4933.9600	992769.4923	22.1200	0.0000	0.0000	1.4210	18.3940	36.5479	0.0000	0.0000	0.0179
13.0000	4935.9226	992776.1565	22.0300	0.0000	0.0000	1.4210	18.3940	36.5624	0.0000	0.0000	0.0179
14.0000	4934.1877	992774.0944	21.9700	0.0000	0.0000	1.4210	18.3940	36.5495	0.0000	0.0000	0.0179
15.0000	4932.2582	992773.1710	22.0800	0.0000	0.0000	1.4210	18.3940	36.5352	0.0000	0.0000	0.0179
16.0000	4933.2767	992773.0776	22.1500	0.0000	0.0000	1.4210	18.3940	36.5428	0.0000	0.0000	0.0179
17.0000	4937.3966	992773.9226	22.2000	0.0000	0.0000	1.4210	18.3940	36.5733	0.0000	0.0000	0.0179
18.0000	4933.1360	992773.1135	22.2400	0.0000	0.0000	1.4210	18.3940	36.5417	0.0000	0.0000	0.0179
19.0000	4934.1007	992772.6369	22.2200	0.0000	0.0000	1.4210	18.3940	36.5489	0.0000	0.0000	0.0179
20.0000	4936.2041	992776.3721	22.2100	0.0000	0.0000	1.4210	18.3940	36.5645	0.0000	0.0000	0.0179
21.0000	4934.3285	992776.1475	22.3000	0.0000	0.0000	1.4210	18.3940	36.5506	0.0000	0.0000	0.0179
22.0000	4934.2747	992771.6441	22.4100	0.0000	0.0000	1.4210	18.3940	36.5502	0.0000	0.0000	0.0179
23.0000	4934.5562	992776.5127	22.3600	0.0000	0.0000	1.4210	18.3940	36.5523	0.0000	0.0000	0.0179
24.0000	4932.3120	992773.7078	22.3000	0.0000	0.0000	1.4210	18.3940	36.5356	0.0000	0.0000	0.0179
25.0000	4932.3990	992773.6981	22.3400	0.0000	0.0000	1.4210	18.3940	36.5363	0.0000	0.0000	0.0179
26.0000	4932.9952	992775.9905	22.3300	0.0000	0.0000	1.4210	18.3940	36.5407	0.0000	0.0000	0.0179
27.0000	4934.2747	992774.4376	22.3800	0.0000	0.0000	1.4210	18.3940	36.5502	0.0000	0.0000	0.0179
28.0000	4935.7487	992776.0398	22.4100	0.0000	0.0000	1.4210	18.3940	36.5611	0.0000	0.0000	0.0179
29.0000	4932.3990	992777.2865	22.2300	0.0000	0.0000	1.4210	18.3940	36.5363	0.0000	0.0000	0.0179
30.0000	4934.2747	992774.3458	22.3600	0.0000	0.0000	1.4210	18.3940	36.5502	0.0000	0.0000	0.0179
31.0000	4935.4672	992775.0457	22.5000	0.0000	0.0000	1.4120	18.3940	36.5590	0.0000	0.0000	0.0000
32.0000	4934.6969	992773.9082	22.4000	0.0000	0.0000	1.4210	18.3940	36.5506	0.0000	0.0000	0.0000
33.0000	4933.5045	992773.9947	22.4900	0.0000	0.0000	1.4210	18.3940	36.5445	0.0000	0.0000	0.0000
34.0000	4932.9082	992779.2341	22.5200	0.0000	0.0000	1.4210	18.3940	36.5401	0.0000	0.0000	0.0000
35.0000	4932.4528	992773.5890	22.4600	0.0000	0.0000	1.4210	18.3940	36.5367	0.0000	0.0000	0.0000
36.0000	4931.1195	992777.5652	22.5100	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
37.0000	4933.8192	992774.8434	22.5600	0.0000	0.0000	1.4210	18.3940	36.5468	0.0000	0.0000	0.0000
38.0000	4932.5398	992774.8795	22.5200	0.0000	0.0000	1.4210	18.3940	36.5373	0.0000	0.0000	0.0000
39.0000	4931.2065	992774.0020	22.5400	0.0000	0.0000	1.4210	18.3940	36.5275	0.0000	0.0000	0.0000
40.0000	4931.4880	992775.7355	22.7000	0.0000	0.0000	1.4210	18.3940	36.5295	0.0000	0.0000	0.0000
41.0000	4934.6969	992773.9367	22.7000	0.0000	0.0000	1.4210	18.3940	36.5533	0.0000	0.0000	0.0000
42.0000	4933.8192	992773.0822	22.6200	0.0000	0.0000	1.4210	18.3940	36.5468	0.0000	0.0000	0.0000
43.0000	4932.9082	992774.9317	22.6400	0.0000	0.0000	1.4210	18.3940	36.5401	0.0000	0.0000	0.0000
44.0000	4933.7322	992773.7457	22.6300	0.0000	0.0000	1.4210	18.3940	36.5462	0.0000	0.0000	0.0000
45.0000	4931.1195	992777.2201	22.6500	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
46.0000	4933.9600	992773.8774	22.6600	0.0000	0.0000	1.4210	18.3940	36.5479	0.0000	0.0000	0.0000
47.0000	4932.3990	992775.9179	22.6700	0.0000	0.0000	1.4210	18.3940	36.5363	0.0000	0.0000	0.0000
48.0000	4930.7511	992777.1178	22.6800	0.0000	0.0000	1.4210	18.3940	36.5241	0.0000	0.0000	0.0000
49.0000	4934.3285	992775.9954	22.7000	0.0000	0.0000	1.4210	18.3940	36.5506	0.0000	0.0000	0.0000
50.0000	4933.1360	992773.0068	22.6700	0.0000	0.0000	1.4210	18.3940	36.5417	0.0000	0.0000	0.0000
51.0000	4933.3637	992774.5274	22.7000	0.0000	0.0000	1.4210	18.3940	36.5434	0.0000	0.0000	0.0000
52.0000	4933.5045	992775.6092	22.8400	0.0000	0.0000	1.4210	18.3940	36.5445	0.0000	0.0000	0.0000
53.0000	4935.5209	992774.8093	22.8100	0.0000	0.0000	1.4210	18.3940	36.5594	0.0000	0.0000	0.0000
54.0000	4933.6452	992777.1150	22.8200	0.0000	0.0000	1.4210	18.3940	36.5455	0.0000	0.0000	0.0000
55.0000	4933.2767	992778.1172	22.8200	0.0000	0.0000	1.4210	18.3940	36.5428	0.0000	0.0000	0.0000
56.0000	4932.3990	992776.6928	22.8200	0.0000	0.0000	1.4210	18.3940	36.5363	0.0000	0.0000	0.0000
57.0000	4932.3990	992775.8402	22.9300	0.0000	0.0000	1.4210	18.3940	36.5363	0.0000	0.0000	0.0000
